RCP_TTL,CKG_NM,CKG_MTRL_CN
카레라이스,카레라이스,"돼지고기,카레가루,물 리터,양파,감자,당근  식용유"
소불고기  맛있게 볶는 법까지,소불고기,"소고기불고기용,느타리버섯,양파,당근,대파,양념"
베이컨 숙주 볶음ㅣ술 안주로 최고!ㅣ,베이컨숙주볶음,"숙주 ,베이컨,어묵,양파,청양고추,우동사리  노두유,간장,요리당,들기름,마늘,식용유,참기름,깨"
안동찜닭,안동찜닭,"닭,감자,양파,당근,파,당면  간장,물,커피가루,설탕,올리고당,맛술,마늘,후추"
홈메이드 충무김밥 만들기,충무김밥,"무,대파,마늘 알,오징어  고추가루,식초,간장,설탕,물엿,후추,깨소금,소금"
더운날 보양식 닭곰탕,닭곰탕,"닭,양파,대파,통마늘,물  파, 마늘,청양고추,홍고추,고춧가루,후추,맛간장"
면역력 좋은 김치콩나물국,김치콩나물국,"콩나물, 김치,파 대 국간장 ,소금,고추가루 ,청양고추,마늘"
떡국 맛있게 끓이는법,떡국,"떡국떡,곰국,대파,마늘"
소고기뭇국,소고기무국,"소고기,무,대파,마늘,국간장,소금,설탕,참기름,후추"
간 소고기로 끓인 초간단 소고기무국,소고기무국,"소고기,무,양파  국간장 ,참치액 , 마늘 ,참기름 ,소금"
뚝배기떡만두국,떡만두국,"수제만두,떡국떡,사골육수,물,소고기양지,계란,김가루 맛술,간장,파,설탕,깨,후추,참기름,소금,맛소금,조미료 미량"
한 끼 뚝딱  스팸마요덮밥♪,스팸마요덮밥,"스팸,계란,양파,김가루,마요네즈,간장,설탕,맛술,물"
참치마요주먹밥 만들기,참치마요주먹밥,"참치캔 캔,양파,김밥용 김 참기름,소금 ,깨  마요네즈,소금,후추 "
소고기고추장이 너무 맛있는 상추쌈밥 만들기 ★,상추쌈밥," 상추,다짐돈육고추장볶음 소금,후추,참기름"
떡갈비볶음밥:아이들 입맛을 사로잡다,떡갈비볶음밥,"떡갈비,대파,양파,당근,맛술,간장,밥"
단무지 볶음밥,단무지볶음밥," 단무지,감자,양파,청양고추,깨,오일,검은깨,소금"
집밥 TV) 한국인의 소울푸드 궁중 떡볶이 간장 떡볶이,궁중떡볶이,"떡볶이떡,소고기불고기감,양파,당근,피망,물,식용유,표고버섯,대파 간장,설탕,청주,마늘,참기름,후추,깨  간장,참기름 간장,굴소스,설탕,물엿,참기름"
돼지고기볶음 만들기,돼지고기볶음,"돼지고기,양파,당근,파프리카,표고버섯,양송이버섯 간장,아가베시럽,참기름,깨"
백종원 순대볶음 만드는 법,순대볶음,"순대,양배추,깻잎 장,양파,식용유,참기름,깨  물,고추장,고춧가루,간장,굴 소스,맛술,청주,설탕, 마늘,파,생강가루"
♥[신혼밥상] 특별 상차림 소갈비찜,소갈비찜,"소갈비,당근,홍파프리카,피망,대추알,양파,감자,간마늘,간장,설탕,후추"
#현지에서먹힐까 #깐풍기만들기 #양념치킨만들기 #새콤매콤한 양념으로 볶아낸 치킨 #치맥안주로 최고는 깐풍기!!,깐풍기,"에어프라이어용 치킨,홍피망,청피망,대파, 마늘,고추기름,베트남 고추 ,후추  물,설탕,식초,소금"
바삭바삭 비오는날 최고인 감자채전 만들기,감자채전,"감자 적은 것,버섯,청양고추,쪽파  ,양파,밀가루,소금,식용유,달걀"
참기름간장떡볶이:설날 가래떡의 추억으로부터,간장떡볶이,"떡볶이 떡,건고추,홍고추,마른 표고버섯,당면,양파 작은 것,식용유,물  연두  마늘,굴소스,간장,물엿,고춧가루"
초간단 어묵잡채,어묵잡채,"어묵,당면,당근,양파,파프리카,깻잎,양파청,마늘,식용유,양조간장 ,참기름,깨,소금"
북어국 끓이는 법 깔끔하게~,북어국,"북어채,콩나물,마늘,대파,달걀  멸치티백,참기름,소금,후추"
꼬막전 만들기,꼬막전,"꼬막,부침가루,파프리카,미나리,자색양파,식용유,쑥갓"
암예방레시피 영양 듬뿍 닭봉 카레 덮밥,닭봉카레덮밥,"닭,양파,감자,카레가루,물, 우유,올리브유,무염버터"
자취요리  파티요리로 좋은 차슈덮밥 레시피 (남은 수육처리에도 굿 :D),차슈덮밥,"물,설탕,간장,후추"
일품요리로 손색없는 돼지고기소 넣은 가지튀김  집밥백선생 메뉴로도 소개된 가지요리의 백미.,가지튀김,"가지, 돼지고기,부추,파,튀김가루,참기름,소금,생강,후추 튀김가루,물"
오징어볶음 : 초보자도 실패 없는 레시피,오징어볶음,"오징어,양파,양배추,당근,파  식용유,설탕,간마늘,고추장,고춧가루,간장,참기름"
배추된장국  초간단 초스피드 된장국,배추된장국,"알배추 통,다시마쪽,물 된장,마늘,대파,멸치가루,액젓소금"
팥알 송송 단호박죽,단호박죽,"단호박,습식 찹쌀가루,대추,물  소금,설탕"
마파두부,마파두부,"두부,대파,청양고추,양파, 돼지고기,간장,소금,설탕,마늘,된장"
보름약밥 초간단레시피,약밥,"찹쌀,물,흑설탕,황설탕,조청,간장,참기름,시나몬 가루  잣,밤,건포도"
계란볶음밥 만들기,계란볶음밥,"계란, 식용유,대파,소금"
<찌망 레시피> 매콤한 닭도리탕!!,닭도리탕,"닭,양파,감자,고구마,고추,마늘,맛술소주 고추장,고춧가루,설탕,매실청,간장"
간단하고 쉽게 만들어도 맛은 최고! 푸팟퐁커리 ,푸팟퐁커리,"꽃게,양파,감자,버섯,우유,계란 알 카레가루,멸치액젓,식초,후추,설탕,마늘,전분가루"
꽃게탕 끓이기,꽃게탕,"꽃게,무,호박,대파 흰 부분 대,홍고추,쑥갓  멸치맛국물,고추장,된장,고춧가루,마늘,생강가루,후추"
제철 음식으로 비빔밥 만들기,비빔밥,"둥근호박,소금,식용유,마늘"
콩나물국,콩나물국,"콩나물,대파  멸치 작은,다시마 액젓,소금,마늘"
추울때 더 맛나네 얼큰 육개장 ,육개장,"소고기국거리,삶은 고사리,양파,대파,버섯,국간장,고춧가루,맛술,마늘,참기름,후추"
대패삼겹살 덮밥(feat:대파),대패삼겹살덮밥,"대패삼겹살,마늘,대차패,밥  설탕,고춧가루,간장,청주,마늘,생강생강가루,고추장,올리고당,참기름 참기름,깨"
얼큰한 대구탕 레시피,대구탕,"대구,무 두께,양파,애호박,쑥갓,마늘,대파,멸치육수,소금멸치액젓 취향에맞게,청양고추  다시멸치,디포리,다시마 *,무 두께,물"
[사랑파워 블로그][집밥백선생] 백종원 참치동그랑땡&참치밥전 만들기!,참치동그랑땡,"참치캔,달걀 알,대파,양파,당근,청양 고추, 마늘,부침가루,설탕,소금,액젓"
삼시세끼 어촌편3 에릭의 탕수육 만드는 법,탕수육,"탕수육 고기,양파,목이버섯,오이,당근,사과,튀김기름  소금,후추  고구마전분,옥수수전분,물,콩기름,달걀흰자  물 반,설탕,간장,식초,녹말물"
[소고기덮밥] 규동 만들기,규동," 쇠고기,꽈리고추,양파,계란,식용유,고춧가루 꼬집 간장,맛술,참치액,설탕,물"
닭똥집,닭똥집,"닭,후추,생강가루,올리브유"
간장떡볶이,간장떡볶이,"소고기양지,떡볶이떡 파슬리,양파,굴소스,간장,설탕"
혼밥하기 좋은 카레라이스,카레라이스,"카레가루 한,양파, 돼지고기,카놀라유,후추,고춧가루,케찹,물  백파더 카레,크래미,코코넛밀크,멸치액젓,설탕,식초,계란"
 닭곰탕 레시피 여름보양식 진한 국물과 다대기까지,닭곰탕,"영계,생강,마늘,통후추,월계수잎,대파 마늘,후추,소금"
소갈비찜 만드는법,소갈비찜,"소갈비 ,무,당근,대파 배,양파, 마늘,간장,올리고 당,굴 소스,맛술,청주,설탕, 생강,후추,참기름"
♥[신혼밥상] 담백의 끝판왕 두부스테이크,두부스테이크,"두부 ,★마요네즈,★굴소스,★설탕,감자전분 적량,기름 적량,대파 적량"
계란말이김밥 만드는 법 간단한 소풍도시락으로 좋아요,계란말이김밥,"달걀,당근,팽이버섯,양파,김"
김밥종류별 모양비교(김밥포장방법),김밥,"밥 대접,소금,참기름,단무지,당근,오이,우엉 시판용,김밥용김 간장,식초,올리고당,물,연겨자"
남은치킨으로 닭죽 만들기,닭죽,"남은치킨, 있는야채,간장,소금,깨소금,김"
캐릭터도시락만들기)라이언 볶음밥만들기,볶음밥," 양파,당근,감자,피망,달걀, 닭,간장,설탕,청주,맛술,마늘,후추"
밥솥으로 뚝딱 만든 갈비찜 쉬워요~,갈비찜,"한우갈비 등급,당근,무,대추,은행,밤,잣,표고버섯,양파,대파  맛간장,배즙,마늘,생강가루,설탕  올리고당,맛술,청주,후추,참기름"
초스피드 주먹밥,주먹밥," 애호박,표고버섯,파프리카,단무지,소금,참기름,깨,햄,부추  소고기,간장,설탕,후추,맛술,깨"
감자 옹심이,감자옹심이,"감자,소금,비트,실파,단호박,설탕,진간장,소금,후추 멸치,대파,다시마,양파,마늘,물"
떡꼬치,떡꼬치,"떡볶이떡 케첩,고추장,고추가루,간장,설탕,올리고당,마늘,물"
매콤한 국물떡볶이 레시피 / 소주안주 로도 안성맞춤 / 운동의 이유,국물떡볶이,"떡볶이떡 ,사각어묵,양파,대파  고추장,고추가루,간장,올리고당,마늘,후추,육수"
멸치볶음을 넣은 베이컨 말이 주먹밥,베이컨말이주먹밥," 베이컨,치즈,소금,깨,참기름 수저 포도,방울토마토,귤"
떡국떡과 믹스로 간단히 만드는 소떡소떡 핫도그~,소떡소떡,"고춧가루,오일,케찹,고추장,설탕,올리고당,맛술,간장,마늘,오일,깨,가래떡,소시지"
송편구이 꼬치,송편,"멥쌀가루,물,소금,깨갈은 것  설탕,꿀,국간장  딸기가루,치자물,참기름식용유"
[아빠투툼레시피]간편한 한끼! 떡만둣국~,떡만두국,"떡국떡,만두  ,소고기,대파,국간장,마늘,소금,후추  물,멸치 가루  계란지단,표고버섯볶음"
소고기 야채 볶음과 감자 튀김,소고기구이,"훈제 한우,구운 두부,크래미,깻잎,쪽파 쪽,양파,계란,식용유,파프리카,파슬리가루 꼬집,케첩"
어린이반찬~오징어간장조림,오징어간장조림,"물오징어,청양고추,실파,마늘 간장,식초,설탕,올리고당,청주"
케일쌈밥 만들기 ,케일쌈밥,"케일,불린 쌀,소금  된장,고추장,마늘,아몬드,참기름,깨소금"
이게 바로 만능! 스팀에어프라이어로 만드는 홈포차 메뉴 TOP3,오징어순대,"오징어, 돼지고기,두부,당근,대파,새송이버섯,부추 단,계란,홍고추,소금,밀가루,후추"
누구나 쉽게 꿔바로우 만드는 방법  중국집에서 사 온 것 같은 찹쌀탕수육 만들기~,찹쌀탕수육,"돈등심,소금,후추, ,양파,당근,오이,불린 목이버섯,물전분  불린 전분,찹쌀가루,식용유,달걀 흰자  물,식초,설탕,간장"
(아이들반찬) 부드럽게 맛있는 굴전!,굴전,"굴,소금,달걀,당근,깻잎 씩,식용유"
어묵탕 끓이는법 ,어묵탕,"모둠 어묵 탕 ,곰 새우,천연조미료해물 육수,무,삶은달걀,후추,청주,마늘,어슷썬파"
매콤한 마파두부덮밥 만드는 법,마파두부덮밥,"돼지고기,청피망,양파,대파,포도씨유,물,기꼬망 두반장,기꼬망 블랙빈 소스,두부 그램,마늘,고추기름,후추,참기름"
초간단 쑥된장국으로 봄의 향기를 느껴보세요,쑥된장국,"쑥,멸치육수,된장,고춧가루, 마늘,들깨가루"
#오키나와 주먹밥따라하기 #아부라미소 오니기니 응용한 스팸주먹밥과 두부된장주먹밥!! 포장까지해서 소풍가자!!,스팸주먹밥,"스팸 거 캔,치즈,버섯 송이,양파"
시원하고 칼칼한 콩나물국 끓이는 법,콩나물국,"콩나물,마늘,대파,소금,청양고추 "
꼬마김밥:남겨진 반찬의 화려한 외출,꼬마김밥,"시금치 단,김밥김,당근,단무지, 깨,소금,참기름 겨자,간장,설탕,물"
얼큰하게 끓인 북어국입니다. 얼큰 북어국,북어국,"북어채,간마늘,들기름,물,무,대파,새우젓맑은국물"
꽃게찜만들기 집밥백선생3 응용편,꽃게찜,"꽃게,콩나물 찜용,양파,미나리,미더덕 물,국멸치 ,다시마 작은거  매콤한 고춧가루,진간장,설탕,맛술,마늘,식용유,후추,녹말물,참기름,깨"
백선생 낙지볶음  매콤한 저녁메뉴,낙지볶음,"낙지,새우,대파,양파, 마늘,청양고추,홍고추  고춧가루 ,생강술 ,설탕,고추장 ,간장 ,생강가루,후추"
비빔밥 만들기~,비빔밥," 오징어,열무김치,백김치,애호박,당근,달걀,들기름,식용유  간장,꿀,참기름,후추,깨,마늘  고추장,간장,매실청,참기름,오징어다리,마늘,물"
참치김밥으로 든든 한끼,참치김밥,"귀리수수 단무지,오이,당근,맛살, 햄,달걀,참치 캔,마요네즈,김 참기름,소금,깨"
초고추장에 찍어먹는 두부구이,두부구이,"두부,가지,애호박,통마늘 ,볶음김치 "
초간단 고등어구이,고등어구이,고등어
수육+부추무침 도시락,수육,"브로콜리,파프리카,양파,수육 그램,아삭이고추,마늘 쪽,스리랏차,생간,간장,녹말물,참기름,후추"
제육볶음 황금레시피! 차승원 제육볶음!!,제육볶음,"돼지고기,물엿,설탕,간장,참기름,고추장 반,고추가루,마늘, ,양파,대파,청양고추,후추,물,소금,부추,식용유"
더운 여름  집에서 만들어 먹는 충무김밥,충무김밥,"오징어,무,미나리,실파,김,밥  식용유,참기름,소금,참기름,검은깨  물,설탕,식초,소금  고춧가루,고추장,식초,설탕,마늘,소금,깨"
느타리버섯전 식어도 쫄깃하게 먹는 방법,느타리버섯전,"애호박,느타리버섯,당근,부침가루,물,달걀,올리브유"
크림소스 새우 홈파티요리 만들기_타코야끼팬만 있으면 누구도 할 수 있어요,크림새우,"자숙 새우, 레몬,양상추  마요네즈,설탕,식초  튀김가루,물"
삼시세끼 어촌편3 에릭의 탕수육 만드는 법,탕수육,"돼지고기,소금,후추,청주,녹말가루,통밀가루 자두,양파,빨강 파프리카,노랑 파프리카,오이고추,물,녹말가루,소금,식초,설탕"
해장에 딱인 초간단 매콤한 콩나물국(맑은 콩나물국),콩나물국,"콩나물 ,고추가루  대파,간마늘,소금 밥"
여름 보양식~ 전복죽,전복죽,"전복,불린쌀,잘게 썬 당근,다시마물,참기름,청주, 마늘,액젓,후추"
간단한 한그릇요리 콩나물밥 만들기,콩나물밥,"콩나물, 어묵,참기름 청양고추,대파,고추가루,설탕,진간장,미림,식초,참기름,깨"
밥도둑! 단짠단짠 실패없는 찜닭,찜닭,"닭,감자,당면 그램,청양고추 그램 간장,정종,마늘,생강편,대파,치킨스톡,쌍노두소스,참기름,설탕,미원"
봄철 대표 국민생선/매운 가자미조림,가자미조림,"가자미,무,양파,고추,파  간장,고추가루,마늘,매실액,참기름,물"
콩나물국 간단하게 끓이기!,콩나물국,"콩나물 ,대파, 마늘 ,청양고추,홍고추,멸치 다시 육수  국간장 ,소금 "
묵은지닭볶음탕/황금레시피 무수분 김치닭볶음탕,묵은지닭볶음탕,"닭,감자 거,고구마 거,양파,묵은지 쪽,소주,물잔으로  고추장,고춧가루,마늘,생강,올리고당,설탕,진간장,국간장"
꽁치조림  백종원 꽁치조림  밥반찬 꽁치 통조림,꽁치조림,"꽁치통조림 캔,잘익은김치,무 센티,양파,파 대 간장,물,설탕,고춧가루,미림,마늘,참기름,후추,깨"
폭신폭신 계란찜,계란찜,"도라지나물,취나물,고사리나물,숙주나물 씩,달걀,방울토마토,식빵,올리브유,소금,후추,샐러드야채"
[집밥&술안주] 비오는 날 먹기 딱 좋은 매운오징어볶음,매운오징어볶음,"대파,청양고추,홍고추,오징어 고추장,마늘,고추가루,오일,올리고당,생강술,후추"
전복 3가지 요리법,전복,"전복 왕왕특,버터,참기름,깨"
단팥죽 끓이기 : Danpatjuk /Sweet red bean porridge ,단팥죽,"붉은 팥,물,찹쌀가루  설탕,소금"
안동찜닭 황금레시피,안동찜닭,"하림 절단육,양파,감자,당근,마늘 것,생강,홍고추,청양고추,당면불린거  간장,굴소스,매실청,올리고당,청주,후추"
미우새김밥  고단백다이어트김밥 ,김밥,"김,햄,당근,오이,단무지,우엉 줄 마요네즈,홀그레인머스터드,참기름,깨소금,고추가루,소금 씩"
소고기 미역국 맛있는 미역국 끓이는 법,소고기미역국,"소고기,양파,당근,버섯 ,대파 ,물,멸치,건 미역 ,마늘  간장,맛술,마늘,국간장,참기름 ,후추 ,소금 "
저녁메뉴로 좋은 칼칼한 닭볶음탕 황금레시피 ,닭볶음탕,"닭,감자,양파,대파,들깻순,청양고추  만능양념장,고춧가루,간장,올리고당,마늘,생강,후추,생강술"
회 덮밥 안주도 먹고~밥도 먹는 혼 술안주,회덮밥," 광어 회,깻잎,청양고추,마늘 쪽,새싹,오이,무순,날치알,김가루  초고추장,깨,참기름"
어버이날]홍어무침,홍어무침,"홍어,미나리 단,오이,배,절인 무   생강 작은, 마늘 ,고추장 ,고운 고춧가루,일반 고춧가루,배 식초,설탕,올리고당,소금,깨"
든든한 한끼 불고기김밥,불고기김밥,"소고기,당근,오이  참기름,소금,깨"
쑥된장국:쑥의 향을 최대한으로 살려 끓이기,쑥된장국,"쑥,된장,생수,다시마 ,무,날콩가루"
#느린바다해조류 다시마육수로 만드는 떡만두국만들기 #속이 뻥뚫리는 시원한 육수만들기!! ,떡만두국,"왕만두 알,사골국물가루,양파,쪽파,국간장,김,후추,떡,참기름,계란,물"
봄철 입맛없을때 딱이야~~시래기감자잡곡밥,잡곡밥,"백미,녹미,흑미 (소주잔},불린 흰강낭콩과불린 검은 콩,소주 잔,물"
여름철보양식 초복요리 전복 버터구이와 전복죽,전복버터구이,"전복,버터 ,은행,호두,기름,후추 꼬집,청주 수저"
여름철 보양식 장어덮밥 그리고 장어구이,장어덮밥,"손질어,데리야끼소스,계란,마늘,깻잎,새싹,식용유,쌀,가쓰오부시육수"
구수한 황태미역국,황태미역국,"마른 미역,황태채  들기름,물,마늘,국간장,소금,들깨가루"
초간단참치비빔밥 만드는법 #,참치비빔밥,"참치,현미 깻잎,상추,무순,파프리카,오이  고추장,식초,설탕"
국물이 시원한 초간단 어묵국 레시피 ,어묵국,"어묵,무,계란,대파 국간장 수저,마늘,소금"
백종원 가지밥 레시피  가지요리로 한그릇!,가지밥,"쌀,정수 물,식용유,대파,진간장,가지  부추,대파,청양고추,간 마늘,진간장,황설탕, 고춧가루,깨소금,참기름"
쫄깃한 식감이 좋은 코다리 조림,코다리조림,"코다리  굴소스,간장,물,올리고당,고춧가루,올리브유,맛술"
찰떡궁합 두부김치,두부김치,"두부, 김치 쪽, 마늘,설탕,김칫국물,간장,멸치액젓,참기름,깨"
소고기 야채말이 만들기,소고기야채말이,"소고기 전용 ,깻잎,무순,부침가루,식용유,미나리,연겨자 소스,식초"
매생이 굴국 끓이는 방법,매생이굴국,"매생이,무,소금,대파,마늘,물,굴 "
집밥 백선생 수제 돈까스 만들기 돈까스 소스 만들기,돈까스,"밀가루 고기양에맞게,빵가루 고기양에맞게,계란 필요한만큼,돼지등심 원하시는만큼 소금이나 허브솔트 살짝씩,후추 톡톡"
미소 넣은 마파두부덮밥 만드는 법,마파두부덮밥,"두부, 돼지고기,고추기름,건고추,간장,후추,두반장,설탕,물녹말,참기름,대파,생수"
입 맛 돋우는 별미 밥요리 영양 가득 콩나물밥 레시피,콩나물밥,"콩나물,쌀  마늘,파,청양고추,간장,설탕,매실액,참기름,고춧가루"
초간단 밀푀유나베 만들기,밀푀유나베,"쌈배추,소불고기용,깻잎,표고버섯,팽이버섯 ,콩나물 ,육수,생칼국수, 달걀  ※소스는 아래에 있는 팁주의사항 참조"
뚝배기불고기,뚝배기불고기,"소고기불고기용,표고버섯,양파,당근,대파,팽이버섯  진간장,맛술,올리고당,마늘,참기름 살짝,깨  멸치육수 ,소금"
콩나물밥 만들기 (고기 간장 활용법),콩나물밥,"쌀,다시마 손바닥,물,콩나물"
닭똥집 볶음으로 맥주 한 잔 캬~~ 어떠세요? ^^ / 닭똥집볶음만들기 / 닭모래집볶음만들기,닭똥집볶음,"닭,밀가루,소금,우유 첩,마늘,마늘 ,청양고추,양파  참기름 ,소금,후추,깨"
찬밥으로 버섯크림리조또 만들기 How To Make Mushroom Cream Risotto,버섯크림리조또,"송이버섯,생크림,우유,소금,후추,청양고추,마늘"
경기미 참드림 김밥,김밥,"당근,어묵,계란,쪽파,단무지  소금,간장,설탕"
제철맞은 쭈삼 불고기 ,쭈삼불고기,"삼겹살,쭈꾸미,콩나물,양파,당근,호박,깻잎,청양고추,대파  고추가루,고추장,마늘,설탕,참기름,간장,올리고당,후추"
인도네시아식 볶음밥 나시고랭,나시고랭,"닭,새우,계란,양배추,숙주,마늘 알,고추,양파  고추기름,휘시소스,칠리페이스트,쓰리라차,맛술,소금,후추"
시금치된장국,시금치된장국,"멸치,된장,시금치 단,양파,두부,청양고추,마늘것,소금"
스팸마요덮밥 ,스팸마요덮밥,"스팸,양파,계란,우유,밥 마요네즈,마늘,간장,올리고당,미림,참기름"
 골뱅이무침 양념장 만들기 엄지척,골뱅이무침,"골뱅이통조림,대파,양파,오이,당근 고추장,고춧가루,간장,식초,설탕,복숭아청,물엿,맛술,마늘,골뱅이 국물"
정월대보름 오곡밥(찰밥) 전기압력밥솥으로 만들기,오곡밥,"찹쌀,검은콩,수수,조,팥  소금"
<신혼요리> 보글보글어묵탕(오뎅탕) 유부주머니/ 술안주,어묵탕,"어묵,대파,양파,다시마,다시멸치 ,진간장,설탕,마늘,물,소금,맛술"
맛있는 보쌈,보쌈,"돼지고기,통마늘,새우젓,쌈장,후추 ,소금 "
쇠고기미역국 끓이기,쇠고기미역국,"소고기,불린 미역,참기름,물,국 간장,굴소스,소금"
언제나 맛있는 LA갈비,LA갈비,"갈비  간장,설탕,물엿,매실액,마늘,양파즙,배즙,맛술,참기름,생강가루,콜라,후추"
원기회복 전복죽 끓이기+전복손질하기 ,전복죽,"전복,쌀,물  참기름"
매운 양념 낙지볶음 만들기 저녁메뉴로 딱이에요!,낙지볶음,"낙지,양파,대파,당근  고춧가루,고추장,고추,간장,굴소스,설탕,조청,마늘,청주,참기름"
제육볶음 ,제육볶음,"삼겹살,마늘,양파  고추장,고추가루,간장,소금,맛술,꿀,깨,파"
갈치구이(안 부서지고 예쁘게 굽는 방법),갈치구이,"갈치,소금,밀가루,오일스프레이"
짜장소스가 맛있는 짜장 떡볶이,짜장떡볶이,"떡볶이떡,양파,당근,길쭉 어묵,대파,삶은 계란,물  시판 짜장분말,매운 고춧가루"
닭볶음탕 맛있게 만들기 -닭육수로 만든 양념이 포인트,닭볶음탕,"닭,통마늘,양파,당근,감자,고구마  고추장,고춧가루,간장,마늘,후추,맛술,매실액"
냉파요리 _ 소고기잡채,소고기잡채,"소고기,당면,달걀,파 대,양파,애호박,양송이 버섯,어묵,당근,마늘 쪽,깻잎,깨  간장,굴소스,꿀,참기름"
백종원 찜닭 만들기,찜닭,"당면  불리기,감자,양파,대파,청주,참기름,올리고당,매실청,후추,고추가루,마늘,물,간장"
 방학간식 닭날개 구이 또는 술안주,닭날개구이,"닭,후추,마늘,청주,맛술 고추장,물엿,마늘,매실액,맛술"
해장국 넘버원  콩나물국밥 만들기  어렵지 않아요,콩나물국밥,"콩나물,물,후추,마늘,액젓,새우젓,미원,소고기다시다  고추가루,황태 것,오징어 것,새우젓,청양고추,파,마늘,진간장,액젓,육수,미원,소고기다시다"
고등어 김치찜,고등어김치찜,"고등어,김치 쪽,양파  김치국물,물"
【생일상차림메뉴+소불고기만들기】,소불고기,"소고기불고기,표고버섯,대파,당근,식용유  갈은 배,진간장,국간장,물엿,설탕,맛술,청주,마늘,굴소스,참기름,후추,올리고당,물"
입에서 부드럽게 씹히는 맛의 'LA갈비 굽기' 비법,LA갈비,"갈비  배,사과,양파,맛간장,진간장, 마늘,설탕,후추,생강가루"
새우 부추전ㅣ집들이용으로도 손색 없는!,새우부추전,"부추,칵테일새우,당근,양파,청양고추,부침가루,찬물,맛술,후추"
콩나물불고기 볶아서 만드는 대패삼겹살요리,콩나물불고기,"콩나물 ,대패 삼겹살,대파 쪽,양파,깻잎 ,새송이,청양고추 고추장 ,고춧가루 ,간장 ,설탕 ,맛술 ,간 마늘 ,후추"
고등어조림,고등어조림,"고등어,무,대파,청양고추,청고추,설탕,마늘 반,된장,들기름,고춧가루,간장"
멍게 비빔밥 만드는법,멍게비빔밥,"멍게,레몬,양파,어린잎 채소,김,깨,참기름,계란,매운고추"
짭잘한 밥반찬 간장찜닭,간장찜닭,"닭,감자 알,당근,떡  물,미림,설탕,물엿,진간장,굴소스,마늘,후추 꼬집"
최고의 보양식 장어구이 두 가지,장어구이,"장어 어 육수,간장,청주,설탕,물엿,계피 ,통마늘 알,생강,통후추,월계수잎 장"
돼지고기 두루치기 만드는 법 고추장 불고기 황금레시피,돼지고기두루치기,"돼지고기,양배추 ,양파,대파,당근  고춧가루,고추장,설탕,맛술,진간장"
소고기야채볶음 단백질 가득 아들의 한끼식사,소고기야채볶음,"소고기 구이용,양파,꽈리고추, 둠 버섯 허브솔트 ,올리브유"
양송이덮밥,양송이덮밥,"양송이버섯,새우,양파,대파, 마늘,전분 가루,올리브유,간장 크술,굴소스,설탕,후추,참기름"
황태강정 만들기,황태강정,"황태포,깐마늘,청양고추,홍고추,쪽파,양파,마늘,녹말가루,식용유,생강즙,깨  간장,고춧가루,고추장,청주,생강즙,조청,마늘,레몬즙"
색다른 볶음밥 만드는 법,볶음밥,"깡통햄 캔,계란, 소금,굴소스,간장,참기름"
인기반찬 삼치 조림 만들기    간장소스로~,삼치조림,"삼치,무,고춧가루,간장,맛술, 마늘,편생강 ,물,후추,양파,대파"
#2가지 맛의 오징어실채볶음#,오징어실채볶음,"오징어실채,간장,설탕"
담백한 멸치육수로 만든 떡국,멸치육수떡국,"떡국떡,멸치육수,대파,달걀,소고기  간장,미림,후추,참기름  국간장,소금,참기름,깨"
황태채볶음을 넣은 색다른 김밥!(나들이 소풍 도시락),김밥,"구운김,계란,부추,단무지, 햄,당근,어묵,고춧가루,소금,참기름,오일,밥"
주말의 특별메뉴 매콤한 찜닭,찜닭,"닭 당근,감자,고구마,양파,표고버섯 ,청량고추,당면,대파  간장 소주잔 반,맛술 소주잔,올리고당 소주잔,매실엑기스 소주잔,마늘 소주잔,생강,참기름,물 소주잔,후추 살짝"
차슈 덮밥 한 그릇 요리! ,차슈덮밥,"삼겹살,공깃  소금,후추,식용유  물,간장,맛술,설탕 ,굴 소스 ,생강,후추 분  양파,생강 절임,대파,고추냉이,계란 노른자"
백선생 백순대볶음 소스 대박,백순대볶음,"순대,양배추,양파,대파흰부분 대,깻잎,버섯,청양고추,들기름,식용유  고추장,설탕,식초,간마늘,들기름,들깨가루,후추"
☆겨울간식/ 짜장떡볶이,짜장떡볶이,"떡볶이떡,오뎅,달걀,양파,대파,물  짜장 가루,물,고추장, 마늘,간장,고춧가루,올리고당"
얼큰 칼칼하게 즐겨요  조기매운탕,조기매운탕,"조기,멸치다시물 리터,무,청양고추,붉은 고추,대파,쑥갓  식용유,고춧가루  국간장, 마늘,후추"
떡 만두국~*,떡만두국,"떡국,감자만두,계란,양송이버섯,호박,김가루,국간장,소금,멸치와해물다시팩, 닭,마늘,파,후추"
더덕구이,더덕구이,"더덕  고춧가루,진간장,설탕,물엿,깨,후추,마늘,파,맛술,고추장,참기름,물"
의외로 간단한 칠리새우 만들기 - 두반장 이용,칠리새우,"새우,달걀,녹말가루  후추,생강술 마늘,파,생강 쪽,고추기름,케찹,두반장,설탕,물엿,식초,물,참기름,녹말물"
부추달걀볶음,부추달걀볶음,"부추,달걀,고추  카레가루,설탕,참기름"
맛있는 도토리묵무침 초간편레시피,도토리묵무침,"도토리묵,상추,당근,양파,청양고추  진간장,고추가루,마늘,매실청,설탕,참기름,깨 "
소갈비찜,소갈비찜,"소갈비,느타리버섯,감자 ,고구마 小,양파,파 대 간장,매실액,설탕,마늘,사과즙,양파,후추,맛술"
